"site","y","t","w","QC_flag"
"Tumbarumba",0.379350272861081,2018-05-13 12:11:00,1,"good"
"Tumbarumba",0.379832670435628,2018-05-18 12:11:00,1,"good"
"Tumbarumba",0.379570888364802,2018-05-23 12:11:00,1,"good"
"Tumbarumba",0.379420281394683,2018-05-25 12:02:00,1,"good"
"Tumbarumba",0.380036723322415,2018-06-02 12:11:00,1,"good"
"Tumbarumba",0.382184842008531,2018-06-19 12:02:00,1,"good"
"Tumbarumba",0.384939335764659,2018-06-22 12:15:00,1,"good"
"Tumbarumba",0.388143579506039,2018-06-24 12:02:00,1,"good"
"Tumbarumba",0.390381946747726,2018-06-27 12:11:00,1,"good"
"Tumbarumba",0.39094572714799,2018-07-04 12:06:00,1,"good"
"Tumbarumba",0.388903443545664,2018-07-14 12:02:00,1,"good"
"Tumbarumba",0.383851895978457,2018-07-17 12:16:00,1,"good"
"Tumbarumba",0.376484913449559,2018-07-19 12:05:00,1,"good"
"Tumbarumba",0.366885712894633,2018-07-22 12:11:00,1,"good"
"Tumbarumba",0.35582672813487,2018-08-01 12:11:00,1,"good"
"Tumbarumba",0.346130731047951,2018-08-16 12:11:00,1,"good"
"Tumbarumba",0.338946907408575,2018-09-05 12:16:00,1,"good"
"Tumbarumba",0.334084971035093,2018-09-07 12:02:00,1,"good"
"Tumbarumba",0.33107981148435,2018-09-17 12:02:00,1,"good"
"Tumbarumba",0.32906481902248,2018-09-27 12:02:00,1,"good"
"Tumbarumba",0.32741569755525,2018-09-30 12:11:00,1,"good"
"Tumbarumba",0.325590938818077,2018-10-05 12:11:00,1,"good"
"Tumbarumba",0.323253565377425,2018-10-07 12:02:00,1,"good"
"Tumbarumba",0.320483953365346,2018-10-10 12:15:00,1,"good"
"Tumbarumba",0.317843706387665,2018-10-12 12:02:00,1,"good"
"Tumbarumba",0.315732595639449,2018-10-15 12:11:00,1,"good"
"Tumbarumba",0.314767836792946,2018-11-29 12:16:00,1,"good"
"Tumbarumba",0.315204494716638,2018-12-01 12:06:00,1,"good"
"Tumbarumba",0.316776160694051,2018-12-04 12:16:00,1,"good"
"Tumbarumba",0.319496051161795,2018-12-06 12:06:00,1,"good"
"Tumbarumba",0.322393633615738,2018-12-11 12:06:00,1,"good"
"Tumbarumba",0.32477729740468,2018-12-21 12:06:00,1,"good"
"Tumbarumba",0.32572343344075,2018-12-24 12:16:00,1,"good"
"Tumbarumba",0.326250729161667,2018-12-26 12:06:00,1,"good"
"Tumbarumba",0.326352094043494,2018-12-29 12:16:00,1,"good"
"Tumbarumba",0.326900641322338,2019-01-13 12:16:00,1,"good"
"Tumbarumba",0.328624655524343,2019-01-15 12:06:00,1,"good"
"Tumbarumba",0.331225111289601,2019-01-18 12:16:00,1,"good"
"Tumbarumba",0.335061470174479,2019-01-20 12:06:00,1,"good"
"Tumbarumba",0.339579304685249,2019-01-23 12:16:00,1,"good"
"Tumbarumba",0.344078382389584,2019-01-25 12:06:00,1,"good"
"Tumbarumba",0.34770108792802,2019-02-12 12:16:00,1,"good"
"Tumbarumba",0.349614786938677,2019-02-14 12:06:00,1,"good"
"Tumbarumba",0.349676578510764,2019-02-17 12:16:00,1,"good"
"Tumbarumba",0.348020665306464,2019-02-19 12:06:00,1,"good"
"Tumbarumba",0.345006131547526,2019-02-22 12:16:00,1,"good"
"Tumbarumba",0.34190379951169,2019-02-24 12:06:00,1,"good"
"Tumbarumba",0.339342315404271,2019-02-27 12:16:00,1,"good"
"Tumbarumba",0.338424183391314,2019-03-01 12:06:00,1,"good"
"Tumbarumba",0.339252621523358,2019-03-04 12:16:00,1,"good"
"Tumbarumba",0.342077044371692,2019-03-21 12:06:00,1,"good"
"Tumbarumba",0.345880724437888,2019-03-26 12:06:00,1,"good"
"Tumbarumba",0.349064532266671,2019-04-05 12:06:00,1,"good"
"Tumbarumba",0.351257220831278,2019-04-08 12:16:00,1,"good"
"Tumbarumba",0.352533778113323,2019-04-10 12:06:00,1,"good"
"Tumbarumba",0.352462491545002,2019-04-15 12:06:00,1,"good"
"Tumbarumba",0.351357456226292,2019-04-20 12:06:00,1,"good"
"Tumbarumba",0.349927160708261,2019-04-28 12:16:00,1,"good"
"Tumbarumba",0.349009163002749,2019-05-05 12:06:00,1,"good"
"Tumbarumba",0.349040369656091,2019-05-18 12:16:00,1,"good"
"Tumbarumba",0.350490410838501,2019-05-23 12:16:00,1,"good"
"Tumbarumba",0.35326444391138,2019-06-02 12:16:00,1,"good"
"Tumbarumba",0.356429541236381,2019-06-04 12:06:00,1,"good"
"Tumbarumba",0.358662246217513,2019-06-07 12:16:00,1,"good"
"Tumbarumba",0.35984770557913,2019-06-17 12:16:00,1,"good"
"Tumbarumba",0.359570090430292,2019-06-19 12:06:00,1,"good"
"Tumbarumba",0.357529340642238,2019-06-22 12:16:00,1,"good"
"Tumbarumba",0.354395609712624,2019-06-24 12:06:00,1,"good"
"Tumbarumba",0.350675190007561,2019-06-27 12:16:00,1,"good"
"Tumbarumba",0.347522020839809,2019-07-02 12:16:00,1,"good"
"Tumbarumba",0.346016585742364,2019-07-04 12:06:00,1,"good"
"Tumbarumba",0.345960286106168,2019-07-22 12:16:00,1,"good"
"Tumbarumba",0.348045819178384,2019-08-01 12:16:00,1,"good"
"Tumbarumba",0.351980895357647,2019-08-03 12:06:00,1,"good"
"Tumbarumba",0.355835627309031,2019-08-06 12:16:00,1,"good"
"Tumbarumba",0.359544970639178,2019-08-13 12:06:00,1,"good"
"Tumbarumba",0.362056835808237,2019-08-23 12:06:00,1,"good"
"Tumbarumba",0.36303139494267,2019-08-28 12:06:00,1,"good"
"Tumbarumba",0.361698680094245,2019-08-31 12:16:00,1,"good"
"Tumbarumba",0.359027935295236,2019-09-02 12:06:00,1,"good"
"Tumbarumba",0.354739562149629,2019-09-12 12:06:00,1,"good"
"Tumbarumba",0.349331324370646,2019-09-20 12:16:00,1,"good"
"Tumbarumba",0.343751772265669,2019-09-22 12:06:00,1,"good"
"Tumbarumba",0.337791547393366,2019-09-25 12:16:00,1,"good"
"Tumbarumba",0.33284955287761,2019-09-30 12:16:00,1,"good"
"Tumbarumba",0.328783814487707,2019-10-05 12:16:00,1,"good"
"Tumbarumba",0.326148580981111,2019-10-07 12:06:00,1,"good"
