"site","y","t","w","QC_flag"
"Tumbarumba",0.182859732894319,2018-06-22 12:15:00,1,"good"
"Tumbarumba",0.18383507541388,2018-06-24 12:02:00,1,"good"
"Tumbarumba",0.182967035225932,2018-06-27 12:11:00,1,"good"
"Tumbarumba",0.180521938143024,2018-07-04 12:06:00,1,"good"
"Tumbarumba",0.176649641874388,2018-07-14 12:02:00,1,"good"
"Tumbarumba",0.171781610580631,2018-07-17 12:16:00,1,"good"
"Tumbarumba",0.166644972650138,2018-07-19 12:05:00,1,"good"
"Tumbarumba",0.161282387709096,2018-08-01 12:11:00,1,"good"
"Tumbarumba",0.156784940351433,2018-08-16 12:11:00,1,"good"
"Tumbarumba",0.153246022896515,2018-09-05 12:16:00,1,"good"
"Tumbarumba",0.150560978406097,2018-09-07 12:02:00,1,"good"
"Tumbarumba",0.148397999714439,2018-09-17 12:02:00,1,"good"
"Tumbarumba",0.1465500225538,2018-09-27 12:02:00,1,"good"
"Tumbarumba",0.144923056534197,2018-09-30 12:11:00,1,"good"
"Tumbarumba",0.143421044734644,2018-10-05 12:11:00,1,"good"
"Tumbarumba",0.141916237805766,2018-10-07 12:02:00,1,"good"
"Tumbarumba",0.140429903155127,2018-10-10 12:15:00,1,"good"
"Tumbarumba",0.139118009763458,2018-10-12 12:02:00,1,"good"
"Tumbarumba",0.138044864195404,2018-10-15 12:11:00,1,"good"
"Tumbarumba",0.137403484640261,2018-11-29 12:16:00,1,"good"
"Tumbarumba",0.137134805999145,2018-12-01 12:06:00,1,"good"
"Tumbarumba",0.137101165604794,2018-12-04 12:16:00,1,"good"
"Tumbarumba",0.137611081299392,2018-12-06 12:06:00,1,"good"
"Tumbarumba",0.138366429720282,2018-12-11 12:06:00,1,"good"
"Tumbarumba",0.139253203441249,2018-12-24 12:16:00,1,"good"
"Tumbarumba",0.140411157573221,2018-12-26 12:06:00,1,"good"
"Tumbarumba",0.141698435937456,2018-12-29 12:16:00,1,"good"
"Tumbarumba",0.143345511903046,2019-01-13 12:16:00,1,"good"
"Tumbarumba",0.145260351079023,2019-01-15 12:06:00,1,"good"
"Tumbarumba",0.147202435500674,2019-01-18 12:16:00,1,"good"
"Tumbarumba",0.14944449998033,2019-01-20 12:06:00,1,"good"
"Tumbarumba",0.151885140694724,2019-01-23 12:16:00,1,"good"
"Tumbarumba",0.15427645777903,2019-01-25 12:06:00,1,"good"
"Tumbarumba",0.156176983582051,2019-02-12 12:16:00,1,"good"
"Tumbarumba",0.157131368944131,2019-02-14 12:06:00,1,"good"
"Tumbarumba",0.157070011440948,2019-02-17 12:16:00,1,"good"
"Tumbarumba",0.156226657185949,2019-02-19 12:06:00,1,"good"
"Tumbarumba",0.154690453783154,2019-02-22 12:16:00,1,"good"
"Tumbarumba",0.153114615193701,2019-02-24 12:06:00,1,"good"
"Tumbarumba",0.151874395733855,2019-02-27 12:16:00,1,"good"
"Tumbarumba",0.151496197550277,2019-03-01 12:06:00,1,"good"
"Tumbarumba",0.15202197716109,2019-03-04 12:16:00,1,"good"
"Tumbarumba",0.153675863366322,2019-03-21 12:06:00,1,"good"
"Tumbarumba",0.155790499047145,2019-03-26 12:06:00,1,"good"
"Tumbarumba",0.157518382042117,2019-04-05 12:06:00,1,"good"
"Tumbarumba",0.158677416463135,2019-04-08 12:16:00,1,"good"
"Tumbarumba",0.159396502442247,2019-04-10 12:06:00,1,"good"
