"site","y","t","w","QC_flag"
"Tumbarumba",0.281676850026715,2015-09-13 12:06:00,1,"good"
"Tumbarumba",0.286903216207108,2015-11-25 12:16:00,1,"good"
"Tumbarumba",0.29767618618215,2015-12-05 12:16:00,1,"good"
"Tumbarumba",0.308228481250095,2015-12-25 12:16:00,1,"good"
"Tumbarumba",0.319293115463979,2016-01-01 12:09:00,1,"good"
"Tumbarumba",0.329952381562304,2016-01-21 12:06:00,1,"good"
"Tumbarumba",0.341480318175173,2016-02-10 12:06:00,1,"good"
"Tumbarumba",0.350457591873457,2016-02-13 12:12:00,1,"good"
"Tumbarumba",0.356635521920167,2016-03-14 12:12:00,1,"good"
"Tumbarumba",0.36045619529494,2016-04-13 12:12:00,1,"good"
"Tumbarumba",0.361006708020452,2016-04-23 12:16:00,1,"good"
"Tumbarumba",0.359173713516107,2016-05-30 12:06:00,1,"good"
"Tumbarumba",0.354622650558502,2016-06-02 12:15:00,1,"good"
"Tumbarumba",0.348228626582592,2016-08-11 12:16:00,1,"good"
"Tumbarumba",0.341226717131465,2016-10-07 12:04:00,1,"good"
"Tumbarumba",0.333244870149001,2016-10-27 12:04:00,1,"good"
"Tumbarumba",0.326137555815055,2016-11-16 12:06:00,1,"good"
"Tumbarumba",0.322141856169293,2016-11-19 12:12:00,1,"good"
"Tumbarumba",0.322552697147058,2016-11-26 12:06:00,1,"good"
"Tumbarumba",0.326865328221192,2016-11-29 12:16:00,1,"good"
"Tumbarumba",0.335063791499887,2016-12-19 12:13:00,1,"good"
"Tumbarumba",0.345608451733743,2017-01-15 12:02:00,1,"good"
"Tumbarumba",0.356350517795581,2017-01-28 12:15:00,1,"good"
"Tumbarumba",0.365794630214569,2017-02-24 12:05:00,1,"good"
"Tumbarumba",0.372389465498328,2017-02-27 12:16:00,1,"good"
"Tumbarumba",0.376432289299047,2017-03-09 12:13:00,1,"good"
"Tumbarumba",0.378317019599139,2017-03-19 12:16:00,1,"good"
"Tumbarumba",0.378373798438429,2017-03-26 12:06:00,1,"good"
"Tumbarumba",0.377678967246781,2017-03-29 12:12:00,1,"good"
"Tumbarumba",0.376861213495626,2017-04-05 12:02:00,1,"good"
"Tumbarumba",0.375786089938663,2017-04-15 12:06:00,1,"good"
"Tumbarumba",0.374416737897601,2017-04-18 12:12:00,1,"good"
"Tumbarumba",0.373087686362439,2017-05-05 12:06:00,1,"good"
"Tumbarumba",0.371556659295347,2017-05-08 12:12:00,1,"good"
"Tumbarumba",0.369126570429163,2017-05-18 12:16:00,1,"good"
"Tumbarumba",0.365224885884495,2017-06-07 12:16:00,1,"good"
"Tumbarumba",0.360647832592705,2017-06-14 12:06:00,1,"good"
"Tumbarumba",0.355516954423082,2017-07-02 12:14:00,1,"good"
"Tumbarumba",0.351167085977406,2017-07-12 12:16:00,1,"good"
"Tumbarumba",0.347191796064825,2017-07-22 12:16:00,1,"good"
"Tumbarumba",0.343668760751409,2017-07-27 12:16:00,1,"good"
"Tumbarumba",0.340404927316321,2017-07-29 12:05:00,1,"good"
"Tumbarumba",0.336951672244173,2017-08-26 12:16:00,1,"good"
"Tumbarumba",0.333987266726114,2017-08-31 12:13:00,1,"good"
"Tumbarumba",0.33144360616024,2017-09-20 12:13:00,1,"good"
"Tumbarumba",0.329317778433132,2017-10-02 12:02:00,1,"good"
"Tumbarumba",0.327414036006488,2017-10-10 12:15:00,1,"good"
"Tumbarumba",0.326444342189685,2017-10-15 12:14:00,1,"good"
"Tumbarumba",0.326182789992408,2017-10-17 12:02:00,1,"good"
"Tumbarumba",0.326026681883602,2017-11-01 12:06:00,1,"good"
"Tumbarumba",0.325481350062257,2017-11-04 12:14:00,1,"good"
"Tumbarumba",0.324720092436977,2017-11-09 12:12:00,1,"good"
"Tumbarumba",0.323651784689789,2017-11-11 12:02:00,1,"good"
"Tumbarumba",0.321361105435063,2017-11-14 12:16:00,1,"good"
"Tumbarumba",0.318222378791413,2017-11-24 12:12:00,1,"good"
"Tumbarumba",0.315470073072885,2017-12-04 12:16:00,1,"good"
"Tumbarumba",0.313889182378292,2017-12-09 12:13:00,1,"good"
"Tumbarumba",0.314119228394409,2017-12-16 12:02:00,1,"good"
"Tumbarumba",0.316685078794114,2017-12-26 12:02:00,1,"good"
"Tumbarumba",0.321099889602123,2018-01-03 12:12:00,1,"good"
"Tumbarumba",0.326332822181888,2018-01-05 12:02:00,1,"good"
"Tumbarumba",0.331241328860729,2018-01-10 12:02:00,1,"good"
"Tumbarumba",0.335310927496219,2018-01-15 12:02:00,1,"good"
"Tumbarumba",0.338224533616803,2018-01-18 12:13:00,1,"good"
"Tumbarumba",0.340173033488446,2018-01-23 12:12:00,1,"good"
"Tumbarumba",0.341089141587269,2018-02-04 12:02:00,1,"good"
"Tumbarumba",0.341362460725744,2018-02-09 12:02:00,1,"good"
"Tumbarumba",0.341813670029936,2018-02-12 12:15:00,1,"good"
"Tumbarumba",0.343103189123773,2018-02-14 12:02:00,1,"good"
"Tumbarumba",0.344989111959503,2018-02-17 12:12:00,1,"good"
"Tumbarumba",0.348314316701213,2018-02-27 12:12:00,1,"good"
"Tumbarumba",0.352934456000615,2018-03-01 12:06:00,1,"good"
"Tumbarumba",0.358059378419678,2018-03-04 12:11:00,1,"good"
